CIDADE,UF,CANAL_VENDAS,CURSO,DS_TURNO_INSCRICAO,FL_MATRICULADO,VL_MENSALIDADE,MODALIDADES,IDADE,cluster
183,26,7,0,1,1,65.0,3,19.885354646649365,0
61,8,7,0,1,1,65.0,3,19.3295595242307,0
286,0,7,0,1,1,65.0,3,19.737507668271988,0
272,23,0,0,1,1,65.0,3,25.36938238164735,0
163,26,0,0,1,1,65.0,3,20.276875348648723,0
374,26,0,0,1,1,65.0,3,21.793675830520357,0
9,23,6,0,1,1,65.0,3,18.645082772483573,0
173,16,6,0,1,1,65.0,3,21.21597745204578,0
9,23,6,0,1,1,65.0,3,20.016774182984815,0
61,8,6,0,1,1,65.0,3,25.21879749626298,0
61,8,6,0,1,1,65.0,3,20.78065023793461,0
83,18,6,0,1,1,65.0,3,30.771272906435673,0
236,11,6,0,1,1,65.0,0,24.94226888855714,2
225,20,6,0,1,1,65.0,3,120.21869482475022,3
38,4,6,0,1,1,65.0,3,20.244020464564862,0
282,11,6,0,1,1,65.0,3,25.090115866934518,0
9,23,6,0,1,1,65.0,3,22.02913583312137,0
9,23,6,0,1,1,65.0,0,21.18312256796192,0
64,4,6,0,1,1,65.0,3,37.04655576645333,0
275,11,10,0,1,1,65.0,3,20.126290463264354,0
297,4,10,0,1,1,65.0,3,35.46130760940699,0
289,19,2,0,1,1,65.0,3,19.450027432538192,0
289,19,2,0,0,1,65.0,3,22.653378630714748,0
289,19,2,0,1,1,65.0,3,20.764222795892678,0
289,19,2,0,1,1,65.0,0,20.988731170465734,2
289,19,2,0,1,1,65.0,3,21.870337226716035,0
289,19,2,0,1,1,65.0,0,25.843040293856358,2
350,26,2,0,1,1,65.0,3,23.17905677605654,0
309,26,2,0,1,1,65.0,0,28.98068172386519,2
353,26,2,0,1,1,65.0,0,27.10795333108505,2
289,19,2,0,1,1,65.0,0,20.96135210039585,2
289,19,2,0,1,1,65.0,3,19.879878832635388,0
289,19,2,0,1,1,65.0,3,26.86701751447006,0
289,19,2,0,1,1,65.0,3,22.083893973261137,0
289,19,2,0,1,1,65.0,0,29.273637773612958,2
289,19,2,0,1,1,65.0,0,25.029881912780773,2
289,19,2,0,1,1,65.0,0,18.72174416867925,2
136,9,2,0,1,1,65.0,0,36.16768761721002,0
289,19,2,0,1,1,65.0,0,30.163457550884225,2
289,19,2,0,1,1,65.0,3,29.443388008046245,0
91,9,2,0,1,1,65.0,0,24.57265144261369,0
192,26,12,0,1,1,65.0,0,22.86419747025286,2
289,26,2,0,1,1,110.0,2,23.58426701309084,2
103,13,2,0,1,1,110.0,0,23.888174690866563,2
45,14,3,0,1,1,65.0,3,21.358348616409184,0
297,4,5,0,1,1,65.0,3,25.760903083646703,0
54,7,9,0,1,1,65.0,3,20.493170002200817,0
350,26,12,0,1,1,65.0,0,18.932563008217365,2
341,26,12,0,1,1,65.0,0,31.343495470896272,2
350,26,12,0,1,1,65.0,0,40.058253474140685,2
82,16,12,0,1,1,65.0,3,25.18046679816514,0
2,4,12,0,1,1,65.0,3,24.063400739313828,0
297,4,12,0,1,1,65.0,3,32.55638827499218,0
139,26,12,0,0,1,65.0,3,25.046309354822704,0
171,4,12,0,0,1,110.0,2,22.51648328036532,2
170,4,12,0,0,1,110.0,2,20.657444422620124,2
350,26,12,0,0,1,110.0,2,22.423394442127712,2
350,19,12,0,0,1,110.0,2,22.283761184771297,2
350,11,12,0,0,1,110.0,2,21.131102334829137,2
350,26,12,0,0,1,110.0,2,26.899872398553924,2
350,4,12,0,0,1,110.0,2,19.006486497406055,2
26,23,12,0,1,1,110.0,2,32.17308129401379,2
171,4,12,0,1,1,110.0,2,25.65686261738114,2
21,9,12,0,1,1,110.0,2,47.160384250268876,2
21,9,12,0,1,1,110.0,2,20.602686282480356,2
107,11,12,0,1,1,110.0,2,24.397425394166426,2
57,11,12,0,1,1,110.0,2,21.539050478870426,2
385,12,12,0,1,1,110.0,2,39.50245835172202,2
350,19,12,0,1,1,110.0,2,45.84618888691439,2
171,4,12,0,1,1,110.0,2,46.22949586789278,2
350,19,12,0,1,1,110.0,2,21.21871535905277,2
28,26,12,0,1,1,110.0,2,22.218051416603576,2
350,10,12,0,1,1,110.0,2,21.410368849541964,2
350,26,12,0,1,1,110.0,2,30.44546197260404,2
350,26,12,0,1,1,110.0,2,20.09617348618748,2
350,26,12,0,1,1,110.0,2,20.107125114215435,2
350,26,12,0,1,1,110.0,2,24.88751074841737,2
350,19,12,0,1,1,110.0,2,20.216641394494975,2
350,19,12,0,1,1,110.0,2,22.60683421159594,2
350,11,12,0,1,1,110.0,2,26.108617273534243,2
350,19,12,0,1,1,110.0,2,41.21365023108984,2
350,11,12,0,1,1,110.0,2,20.416508606005138,2
350,26,12,0,1,1,110.0,2,20.27961325565571,2
350,26,12,0,1,1,110.0,2,29.955376618353096,2
327,26,12,0,0,1,110.0,3,23.27214561429415,2
350,26,12,0,0,1,110.0,3,19.359676501307572,2
289,19,13,0,1,1,110.0,2,21.21871535905277,2
289,19,13,0,1,1,110.0,2,21.09003372972431,2
289,19,13,0,1,1,110.0,2,21.634877224115023,2
289,19,13,0,1,1,110.0,2,31.743229893916592,2
289,19,13,0,1,1,110.0,3,31.2175517485748,2
308,14,15,0,1,1,110.0,3,30.27844964517774,2
284,26,19,0,1,0,65.0,3,27.65279682547576,3
246,27,19,0,1,1,65.0,3,27.48852240505645,2
154,11,19,0,1,1,110.0,3,21.445961640632817,2
332,26,12,0,1,1,65.0,0,32.12653687489498,2
242,16,7,0,1,1,65.0,3,19.45276533954518,0
37,8,7,0,1,1,65.0,3,20.515073258256724,0
348,24,7,0,1,1,65.0,3,20.931235123318977,0
18,16,7,0,1,1,65.0,3,20.44662558308201,0
89,24,7,0,1,1,65.0,3,24.578127256627667,0
111,23,7,0,1,1,65.0,3,20.380915814914285,0
129,23,7,0,1,1,65.0,3,19.168023010818377,0
382,11,7,0,1,1,110.0,3,22.828604679162012,2
182,21,6,0,1,1,65.0,3,31.2175517485748,0
381,4,6,0,1,1,65.0,3,28.444051950495442,0
378,10,6,0,1,1,65.0,3,19.398007199405413,0
161,19,6,0,1,1,65.0,3,21.36656233743015,0
254,18,6,0,1,1,65.0,3,20.679347678676034,0
364,4,6,0,1,1,65.0,3,19.956540228831066,0
271,6,6,0,1,1,65.0,3,21.48976815274463,0
279,6,6,0,1,1,65.0,3,21.372038151444126,0
313,19,10,0,1,1,65.0,3,19.32682161722371,0
179,11,10,0,1,1,65.0,3,21.229666987080723,0
56,16,10,0,1,1,65.0,3,19.904519995698287,0
235,24,10,0,1,1,65.0,3,20.123552556257366,0
276,24,10,0,1,1,65.0,0,19.41717254845433,2
301,4,10,0,1,1,65.0,3,22.491842117302426,0
126,6,10,0,1,1,65.0,3,25.320100055521554,0
122,4,10,0,1,1,65.0,3,20.443887676075022,0
5,13,10,0,1,1,65.0,3,22.987403285567346,0
184,4,10,0,1,1,65.0,3,20.46305302512394,0
185,21,10,0,1,1,65.0,3,21.377513965458103,0
3,23,10,0,1,1,65.0,3,22.623261653637872,0
126,6,10,0,1,1,65.0,3,24.94226888855714,0
289,19,2,0,0,1,65.0,3,22.05925281019824,0
141,26,2,0,1,1,65.0,3,21.41858257056293,0
217,26,2,0,1,1,65.0,0,20.011298368970838,2
255,15,2,0,0,1,65.0,3,19.67453580711125,0
212,11,2,0,0,1,65.0,3,25.544608430094613,0
337,11,2,0,1,1,65.0,0,27.151759843196864,2
289,19,2,0,1,1,65.0,0,19.414434641447343,2
289,19,2,0,1,1,65.0,3,19.718342319223066,0
350,26,2,0,1,1,65.0,0,24.947744702571118,2
350,26,2,0,0,1,65.0,3,21.73344187636661,0
74,23,2,0,1,1,65.0,3,22.93812095944155,0
349,23,2,0,1,1,65.0,3,25.41592680076615,0
289,19,2,0,1,1,65.0,0,27.964918224272452,2
350,26,2,0,1,1,110.0,3,18.322009745658928,2
16,19,3,0,1,1,65.0,3,27.94849078223052,0
360,24,3,0,1,1,65.0,3,18.828522541951802,0
369,9,3,0,1,1,65.0,3,31.2175517485748,0
54,7,3,0,1,1,65.0,3,21.12836442782215,0
126,6,5,0,1,1,65.0,3,26.689053559015807,0
71,12,5,0,1,1,65.0,3,24.364570510082565,0
245,21,9,0,1,1,65.0,3,22.48636630328845,0
350,26,11,0,1,1,65.0,3,33.61322037968974,2
289,19,11,0,1,1,65.0,3,28.3591768332788,0
280,16,11,0,1,1,65.0,3,22.387801651036863,0
105,11,11,0,1,1,65.0,3,29.908832199234293,0
247,1,11,0,1,1,65.0,3,31.71037500983273,0
185,21,11,0,1,1,65.0,3,20.049629067068675,0
63,23,11,0,1,1,65.0,3,23.962098180055253,0
362,9,12,0,1,1,65.0,3,21.046227217612493,0
206,2,12,0,1,1,65.0,0,22.861459563245873,2
256,10,12,0,1,1,65.0,3,19.80869325045369,0
217,26,12,0,1,1,65.0,3,26.453593556414795,0
254,18,12,0,1,1,65.0,3,19.12969231272054,0
243,26,12,0,1,1,65.0,3,24.066138646320816,0
350,26,12,0,1,1,65.0,0,18.68067556357442,2
158,11,12,0,1,1,65.0,0,26.765714955211486,2
355,6,12,0,1,1,65.0,0,18.57389719030187,2
300,9,12,0,1,1,65.0,3,26.385145881240085,0
96,13,12,0,1,1,65.0,0,27.003912864819487,2
102,0,12,0,1,1,65.0,0,20.70125093473194,0
133,23,12,0,1,1,65.0,3,23.5705774780559,0
86,23,12,0,1,0,65.0,0,24.79442191017976,3
206,2,12,0,1,1,65.0,0,24.178392833607347,2
86,23,19,0,1,0,65.0,0,28.59189892887282,3
124,26,12,0,1,1,110.0,0,19.82238278548863,2
350,26,12,0,1,1,110.0,0,39.094510207680734,2
381,4,12,0,1,1,110.0,0,47.15217052924791,2
54,7,12,0,1,1,110.0,3,31.773346870993468,0
139,26,12,0,1,1,110.0,3,36.51813971410455,2
238,23,12,0,1,1,110.0,0,33.1231350254388,2
289,19,13,0,1,1,65.0,3,34.54684666907283,0
289,19,13,0,1,1,65.0,0,30.92185779182004,2
72,18,13,0,1,1,110.0,3,47.16586006428285,2
289,19,13,0,1,1,110.0,0,32.915054092907674,2
289,19,13,0,1,1,110.0,3,36.044481801895536,2
289,19,13,0,1,1,110.0,0,42.226675823675585,2
222,26,14,0,1,1,65.0,0,26.637033325883024,2
266,11,14,0,1,1,65.0,3,28.120978923670798,0
121,4,14,0,1,1,65.0,3,34.24567689830409,0
95,24,11,0,1,0,65.0,3,34.97669806917002,3
307,1,15,0,1,1,65.0,3,24.657526559830334,0
125,24,15,0,1,1,65.0,3,30.41260708852018,0
193,11,15,0,1,1,65.0,3,29.927997548283212,0
290,24,15,0,0,1,65.0,3,20.241282557557874,0
228,20,15,0,1,1,65.0,3,40.022660683049835,0
268,7,15,0,1,1,65.0,3,29.21887963347319,0
240,23,15,0,1,1,65.0,0,23.028471890672172,2
6,14,16,0,1,1,65.0,3,21.08455791571033,0
255,15,19,0,1,1,65.0,3,19.359676501307572,0
346,10,19,0,1,1,65.0,0,33.06563897829204,2
53,5,20,0,1,1,65.0,3,39.71327719126013,0
196,26,12,0,1,1,65.0,0,38.1718355463256,1
270,13,12,0,1,1,65.0,3,21.78546210949939,0
191,11,12,0,1,1,110.0,3,41.67361860826391,2
136,9,6,1,1,1,110.0,1,19.077672079587757,2
128,26,6,1,1,1,110.0,1,20.99420698447971,2
154,11,6,1,1,1,110.0,1,21.760820946436493,2
114,12,6,1,1,1,110.0,1,26.828686816372223,2
162,26,10,1,1,1,110.0,1,21.21871535905277,2
289,19,2,1,1,1,110.0,1,19.302180454160816,2
289,19,2,1,1,1,110.0,1,20.1153388352364,2
289,19,2,1,1,1,110.0,1,21.571905362954286,2
350,13,12,1,0,1,110.0,2,20.545190235333596,2
350,19,12,1,1,1,110.0,2,21.870337226716035,2
325,13,13,1,1,0,110.0,1,25.851254014877323,3
289,19,13,1,1,1,110.0,1,31.611810357581145,2
100,26,15,1,1,1,110.0,1,23.16262933401461,2
39,4,6,1,1,1,110.0,1,22.0209221121004,2
334,12,12,1,1,1,110.0,1,27.67470008153167,2
289,19,13,1,1,1,110.0,1,21.217778,2
258,23,12,1,1,1,110.0,1,36.8138336708593,2
13,9,19,1,1,1,110.0,1,23.82794073671282,2
246,27,7,2,1,1,110.0,1,18.672461842553457,2
289,19,2,2,1,1,110.0,1,21.21871535905277,2
310,4,3,2,1,1,110.0,1,19.241946500007067,2
246,27,11,2,1,1,110.0,1,22.86693537725985,2
258,23,12,2,1,1,110.0,1,33.18884479360653,2
171,4,12,2,1,1,110.0,2,23.395351429608635,2
350,26,12,2,1,1,110.0,2,19.36241440831456,2
350,19,12,2,1,1,110.0,2,22.218051416603576,2
350,26,14,2,1,1,110.0,1,18.327485559672905,2
289,19,2,3,1,1,65.0,3,19.868927204607434,0
275,11,14,3,1,1,65.0,3,21.038013496591528,0
335,19,2,3,1,1,65.0,3,47.94890146828156,0
289,19,13,3,1,1,110.0,3,18.39319532784063,2
289,19,2,4,1,1,110.0,1,25.29272098545167,2
289,19,2,4,1,1,110.0,1,21.217778,2
289,19,2,4,1,1,110.0,1,22.620523746630884,2
1,0,2,4,1,1,110.0,1,25.05178516883668,0
289,19,2,4,1,1,110.0,1,21.05170303162647,2
289,19,13,4,1,1,110.0,1,44.063811425364875,2
218,4,8,4,1,1,110.0,1,25.670552152416082,2
319,4,8,4,1,1,110.0,1,19.373366036342514,2
331,26,12,4,1,1,110.0,1,28.353701019264822,2
151,4,12,4,1,1,110.0,1,22.37685002300891,2
350,26,12,4,1,1,110.0,1,35.60367877377039,2
289,11,0,5,0,1,110.0,2,25.1421361000673,2
289,19,12,6,1,1,110.0,2,20.27961325565571,2
289,19,13,6,1,1,110.0,2,37.54759274873223,2
289,19,12,16,0,1,110.0,2,25.380334009675302,2
350,19,12,17,1,1,110.0,2,20.70398884173893,2
289,26,12,17,1,0,73.75,2,37.325822281166154,3
162,26,6,7,1,1,65.0,3,21.217778,0
61,8,6,7,1,1,65.0,3,20.791601865962562,0
33,18,6,7,1,1,65.0,3,20.624589538536263,0
154,11,10,7,1,1,65.0,3,25.478898661926888,0
206,2,2,7,1,1,65.0,3,44.15963817060947,0
289,19,2,7,1,1,65.0,3,21.05170303162647,0
366,11,10,7,1,1,65.0,3,22.075680252240172,0
2,4,6,8,0,1,65.0,3,23.261193986266196,0
329,26,2,8,1,1,65.0,3,25.708882850513923,0
350,26,11,8,1,1,65.0,3,18.431526025938467,2
103,13,10,8,1,0,65.0,3,29.47350498512312,3
205,1,12,8,1,0,65.0,0,56.68008691356792,3
154,11,19,8,1,1,65.0,3,31.132676631358155,0
92,27,7,8,1,1,65.0,3,37.706391355137555,0
180,11,7,8,1,1,65.0,3,20.79707767997654,0
323,6,7,8,1,1,65.0,0,21.21871535905277,2
279,6,6,8,1,1,65.0,3,21.870337226716035,0
345,11,10,8,1,1,65.0,0,30.79317616249158,2
289,19,2,8,1,1,65.0,3,29.134004516256546,0
289,19,2,8,1,1,65.0,3,18.434263932945456,0
329,26,2,8,1,1,65.0,3,20.50138372322178,0
365,11,2,8,0,1,65.0,3,25.01893028475282,0
140,14,2,8,1,1,65.0,0,31.704899195818754,0
174,18,2,8,1,1,110.0,0,29.322920099738752,2
185,21,3,8,1,1,65.0,3,20.561617677375526,0
333,4,12,8,1,0,65.0,0,44.37045701014758,3
216,9,12,8,1,1,65.0,0,41.81598977262731,1
252,2,12,8,1,0,65.0,0,50.78811103452865,3
346,10,12,8,1,1,65.0,3,23.929243295971393,0
298,4,12,8,1,1,65.0,3,32.164867572992826,0
110,23,12,8,1,0,65.0,0,31.6939475677908,3
202,3,12,8,1,1,110.0,0,33.94998294154933,2
50,12,14,8,1,1,65.0,3,24.326239811984724,0
228,20,15,8,1,1,65.0,0,26.018266342303622,2
62,21,20,8,1,1,65.0,3,28.66582241806151,0
126,6,12,8,1,1,65.0,3,21.194074195989874,0
289,19,13,8,1,1,110.0,0,25.265341915381782,2
24,4,12,18,1,1,110.0,2,22.899790261343714,0
350,9,12,18,1,1,110.0,2,19.756673017320907,2
350,10,12,18,1,1,110.0,2,27.51042566111236,2
289,19,13,18,1,1,110.0,2,21.21871535905277,2
384,9,2,9,1,1,65.0,3,35.82271133432947,0
9,23,2,9,1,1,65.0,3,31.27504779572156,0
54,7,2,9,1,1,110.0,3,46.04331819141756,0
343,19,12,9,1,1,65.0,0,23.299524684364034,2
263,10,7,9,1,1,65.0,3,19.241946500007067,0
73,17,6,9,1,1,65.0,3,20.02498790400578,0
330,11,12,10,1,1,110.0,2,21.60749815404514,2
23,11,12,10,1,1,110.0,2,20.238544650550885,2
171,4,12,10,1,1,110.0,2,23.04763723972109,2
350,19,12,10,0,1,110.0,2,19.920947437740217,2
350,4,12,10,0,1,110.0,2,19.959278135838055,2
201,26,12,10,1,1,110.0,2,31.132676631358155,2
350,26,12,10,1,1,110.0,2,20.55614186336155,2
289,11,13,10,1,1,110.0,2,31.735016172895627,2
289,19,13,10,1,1,110.0,2,42.12263535741002,2
289,19,13,10,1,1,110.0,2,21.21871535905277,2
289,19,13,12,1,1,110.0,2,21.100985357752265,2
289,26,12,13,1,1,110.0,2,20.495907909207805,2
350,16,12,11,1,1,110.0,2,26.22908518184174,2
350,26,12,11,1,1,110.0,2,37.59413716785103,2
25,24,12,14,1,1,110.0,2,22.031873740128358,2
289,19,3,15,1,1,110.0,2,31.239455004630706,2
289,1,12,19,0,1,110.0,2,19.945588600803113,2
289,13,12,19,0,1,110.0,2,19.956540228831066,2
385,12,12,19,0,1,110.0,2,31.2175517485748,2
350,9,12,19,0,1,110.0,2,19.411696734440355,2
58,7,12,19,0,1,110.0,2,21.372038151444126,0
289,19,12,19,0,1,110.0,2,21.10919907877323,2
350,26,12,19,0,1,110.0,2,30.601522672002385,2
350,4,12,19,0,1,110.0,2,18.948990450259295,2
289,11,12,19,0,1,110.0,2,29.84312243106657,2
289,26,2,20,1,1,110.0,2,20.35627465185139,2
289,26,12,20,1,1,110.0,2,19.962016042845043,2
289,26,12,20,1,1,110.0,2,41.583267677033284,2
171,4,12,20,1,1,110.0,2,21.21871535905277,2
22,11,12,20,1,1,110.0,2,40.737254411873835,2
21,9,12,20,1,1,110.0,2,20.38912953593525,0
350,26,12,20,1,1,110.0,2,20.79707767997654,2
350,19,12,20,1,1,110.0,2,19.972967670872997,2
289,26,12,20,1,1,110.0,2,23.866271434810656,2
289,26,12,20,1,1,110.0,2,24.775256561130842,2
350,11,12,20,1,1,110.0,2,19.652632551055344,2
350,11,12,20,1,1,110.0,2,19.67727371411824,2
350,12,12,20,1,1,110.0,2,25.298196799465646,2
350,18,12,20,1,1,110.0,2,21.25430815014362,2
289,11,12,20,1,1,110.0,2,27.340675426679073,2
350,4,12,20,1,1,110.0,2,19.058506730538838,2
350,4,12,20,1,1,110.0,2,26.913561933588866,2
